risk-large,25;75,600,150,Same
risk-large,75;25,"2,400,000","1,800,000",Same
risk-large,50;50,"3,600,000","1,800,000",Same
risk-large,25;75,"7,200,000","1,800,000",Same
risk-large,75;25,"2,000,000","1,500,000",Same
risk-large,75;25,240,180,Same
risk-large,50;50,300,150,Same
risk-large,75;25,200,150,Same
risk-large,25;75,720,180,Same
risk-large,50;50,360,180,Same
risk-large,25;75,840,210,Same
risk-large,50;50,420,210,Same
risk-large,75;25,280,210,Same
risk-large,25;75,"3,600,000","900,000",Same
risk-large,50;50,"1,800,000","900,000",Same
risk-large,75;25,"1,200,000","900,000",Same
risk-large,25;75,"8,400,000","2,100,000",Same
risk-large,50;50,"4,200,000","2,100,000",Same
risk-large,50;50,"3,000,000","1,500,000",Same
risk-large,25;75,"6,000,000","1,500,000",Same
risk-large,75;25,"1,600,000","1,200,000",Same
risk-large,50;50,"2,400,000","1,200,000",Same
risk-large,25;75,"4,800,000","1,200,000",Same
risk-large,75;25,"2,800,000","2,100,000",Same
risk-large,25;75,360,90,Same
risk-large,50;50,180,90,Same
risk-large,75;25,120,90,Same
risk-large,25;75,480,120,Same
risk-large,50;50,240,120,Same
risk-large,75;25,160,120,Same
safe-large,25;75,600,150,Same
safe-large,75;25,"2,400,000","1,800,000",Same
safe-large,50;50,"3,600,000","1,800,000",Same
safe-large,25;75,"7,200,000","1,800,000",Same
safe-large,75;25,"2,000,000","1,500,000",Same
safe-large,75;25,240,180,Same
safe-large,50;50,300,150,Same
safe-large,75;25,200,150,Same
safe-large,25;75,720,180,Same
safe-large,50;50,360,180,Same
safe-large,25;75,840,210,Same
safe-large,50;50,420,210,Same
safe-large,75;25,280,210,Same
safe-large,25;75,"3,600,000","900,000",Same
safe-large,50;50,"1,800,000","900,000",Same
safe-large,75;25,"1,200,000","900,000",Same
safe-large,25;75,"8,400,000","2,100,000",Same
safe-large,50;50,"4,200,000","2,100,000",Same
safe-large,50;50,"3,000,000","1,500,000",Same
safe-large,25;75,"6,000,000","1,500,000",Same
safe-large,75;25,"1,600,000","1,200,000",Same
safe-large,50;50,"2,400,000","1,200,000",Same
safe-large,25;75,"4,800,000","1,200,000",Same
safe-large,75;25,"2,800,000","2,100,000",Same
safe-large,25;75,360,90,Same
safe-large,50;50,180,90,Same
safe-large,75;25,120,90,Same
safe-large,25;75,480,120,Same
safe-large,50;50,240,120,Same
safe-large,75;25,160,120,Same
both-large,25;75,600,150,Same
both-large,75;25,"2,400,000","1,800,000",Same
both-large,50;50,"3,600,000","1,800,000",Same
both-large,25;75,"7,200,000","1,800,000",Same
both-large,75;25,"2,000,000","1,500,000",Same
both-large,75;25,240,180,Same
both-large,50;50,300,150,Same
both-large,75;25,200,150,Same
both-large,25;75,720,180,Same
both-large,50;50,360,180,Same
both-large,25;75,840,210,Same
both-large,50;50,420,210,Same
both-large,75;25,280,210,Same
both-large,25;75,"3,600,000","900,000",Same
both-large,50;50,"1,800,000","900,000",Same
both-large,75;25,"1,200,000","900,000",Same
both-large,25;75,"8,400,000","2,100,000",Same
both-large,50;50,"4,200,000","2,100,000",Same
both-large,50;50,"3,000,000","1,500,000",Same
both-large,25;75,"6,000,000","1,500,000",Same
both-large,75;25,"1,600,000","1,200,000",Same
both-large,50;50,"2,400,000","1,200,000",Same
both-large,25;75,"4,800,000","1,200,000",Same
both-large,75;25,"2,800,000","2,100,000",Same
both-large,25;75,360,90,Same
both-large,50;50,180,90,Same
both-large,75;25,120,90,Same
both-large,25;75,480,120,Same
both-large,50;50,240,120,Same
both-large,75;25,160,120,Same
both-small,25;75,600,150,Same
both-small,75;25,"2,400,000","1,800,000",Same
both-small,50;50,"3,600,000","1,800,000",Same
both-small,25;75,"7,200,000","1,800,000",Same
both-small,75;25,"2,000,000","1,500,000",Same
both-small,75;25,240,180,Same
both-small,50;50,300,150,Same
both-small,75;25,200,150,Same
both-small,25;75,720,180,Same
both-small,50;50,360,180,Same
both-small,25;75,840,210,Same
both-small,50;50,420,210,Same
both-small,75;25,280,210,Same
both-small,25;75,"3,600,000","900,000",Same
both-small,50;50,"1,800,000","900,000",Same
both-small,75;25,"1,200,000","900,000",Same
both-small,25;75,"8,400,000","2,100,000",Same
both-small,50;50,"4,200,000","2,100,000",Same
both-small,50;50,"3,000,000","1,500,000",Same
both-small,25;75,"6,000,000","1,500,000",Same
both-small,75;25,"1,600,000","1,200,000",Same
both-small,50;50,"2,400,000","1,200,000",Same
both-small,25;75,"4,800,000","1,200,000",Same
both-small,75;25,"2,800,000","2,100,000",Same
both-small,25;75,360,90,Same
both-small,50;50,180,90,Same
both-small,75;25,120,90,Same
both-small,25;75,480,120,Same
both-small,50;50,240,120,Same
both-small,75;25,160,120,Same
